zipf = 0.8 ctx = 0.0----------------------------------------------------------


交易ID,开始时间,完成时间,延迟(微秒),类型
86,3044099531644,3044100306834,775190,普通
87,3044099531503,3044100307989,776486,普通
88,3044099537057,3044100307993,770935,普通
89,3044100077315,3044100810032,732716,普通
90,3044100307192,3044100964927,657734,普通
91,3044100311068,3044101114362,803294,普通
92,3044100324386,3044101114367,789981,普通
93,3044100810392,3044101274627,464234,普通
94,3044100965309,3044101277303,311993,普通
95,3044101267081,3044101906501,639420,普通
96,3044101268181,3044101910581,642400,普通
97,3044101274947,3044101910606,635659,普通
98,3044101278095,3044101910658,632562,普通
99,3044101911173,3044102752651,841477,普通
100,3044101911615,3044102878288,966673,普通

=== 执行统计 ===
第一笔交易开始时间: 3044084900876 微秒
第100笔交易完成时间: 3044102878288 微秒
前100笔交易总执行时间(包含跨链延迟): 17977412 微秒
前100笔交易总执行时间(不含跨链延迟): 17977412 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044086232223,3044086738858,506634,普通
2,3044086232731,3044086748038,515306,普通
3,3044086236480,3044086748061,511581,普通
4,3044086237956,3044086748065,510109,普通
5,3044086739435,3044087266359,526924,普通
6,3044086919918,3044087301421,381502,普通
7,3044086942007,3044087404346,462338,普通
8,3044087081783,3044087408069,326286,普通
9,3044087266691,3044087679588,412896,普通
10,3044087394049,3044087892197,498147,普通
11,3044087405182,3044087892202,487020,普通
12,3044087474412,3044088219397,744985,普通
13,3044087680119,3044088219402,539283,普通
14,3044087893890,3044088380303,486413,普通
15,3044088053286,3044088889442,836156,普通
16,3044088375714,3044089085606,709891,普通
17,3044088380785,3044089085613,704828,普通
18,3044088382472,3044089085802,703329,普通
19,3044088890095,3044089459248,569152,普通
20,3044089086349,3044089459268,372918,普通
21,3044089092795,3044089708304,615509,普通
22,3044089249282,3044089961442,712160,普通
23,3044089704019,3044090256130,552110,普通
24,3044089704291,3044090256135,551843,普通
25,3044089708660,3044090688951,980291,普通
26,3044089971711,3044090690605,718893,普通
27,3044090256757,3044090907292,650534,普通
28,3044090461716,3044091090994,629277,普通
29,3044090689344,3044091094674,405330,普通
30,3044090907626,3044091302321,394695,普通
31,3044090911693,3044091726897,815204,普通
32,3044091091403,3044091942072,850668,普通
33,3044091094982,3044092121569,1026587,普通
34,3044091302793,3044092369118,1066324,普通
35,3044091727267,3044092577358,850091,普通
36,3044091942436,3044092819791,877354,普通
37,3044092121912,3044092848082,726170,普通
38,3044092386140,3044093350615,964474,普通
39,3044092581639,3044093350619,768979,普通
40,3044092820268,3044093780500,960231,普通
